0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
21.14,-0.000349995
21.28,-0.00139995
21.42,-0.00314975
21.56,-0.0055995
21.7,-0.008748
21.839,-0.012596
21.979,-0.017143
22.119,-0.022388
22.258,-0.028331
22.398,-0.034971
22.537,-0.0423075
22.676,-0.05034
22.815,-0.059065
22.954,-0.06849
23.092,-0.0786
23.23,-0.08941
23.369,-0.100905
23.506,-0.113095
23.644,-0.12597
23.781,-0.139535
23.918,-0.153785
24.055,-0.16872
24.192,-0.184335
24.328,-0.200635
24.464,-0.217615
24.599,-0.23527
24.734,-0.253605
24.869,-0.27261
25.003,-0.292295
25.137,-0.312645
25.271,-0.333665
25.404,-0.35535
25.537,-0.377705
25.669,-0.400715
25.801,-0.42439
25.932,-0.44872
26.063,-0.47371
26.193,-0.49935
26.323,-0.52565
26.452,-0.55255
26.581,-0.58015
26.709,-0.6084
26.836,-0.63725
26.963,-0.66675
27.09,-0.69685
27.215,-0.72765
27.34,-0.759
27.465,-0.79105
27.589,-0.82365
27.712,-0.8569
27.834,-0.8908
27.956,-0.92525
28.077,-0.96035
28.198,-0.99605
28.318,-1.03235
28.437,-1.0692
28.555,-1.1067
28.672,-1.14475
28.789,-1.1834
28.905,-1.22265
29.02,-1.26245
29.134,-1.30285
29.248,-1.3438
29.361,-1.38535
29.473,-1.4274
29.584,-1.47005
29.694,-1.51325
29.803,-1.557
29.912,-1.6013
30.019,-1.6461
30.126,-1.69145
30.231,-1.73735
30.336,-1.7838
30.44,-1.8307
30.543,-1.8782
30.645,-1.92615
30.746,-1.97465
30.846,-2.0236
30.945,-2.0731
31.043,-2.12305
31.14,-2.1735
31.236,-2.22445
31.331,-2.27585
31.425,-2.32775
31.518,-2.3801
31.61,-2.43295
31.701,-2.4862
31.79,-2.53995
31.879,-2.5941
31.967,-2.64875
32.053,-2.7038
32.138,-2.75925
32.223,-2.81515
32.306,-2.8715
32.388,-2.9282
32.469,-2.98535
32.548,-3.0429
32.627,-3.10085
32.704,-3.15915
32.781,-3.2179
32.856,-3.27695
32.93,-3.33645
33.002,-3.39625
33.074,-3.45645
33.144,-3.517
33.213,-3.5779
33.281,-3.63915
33.347,-3.7007
33.413,-3.7626
33.477,-3.82485
33.54,-3.88735
33.601,-3.9502
33.662,-4.0134
33.721,-4.07685
33.779,-4.1406
33.835,-4.2046
33.891,-4.26895
33.944,-4.33355
33.997,-4.3984
34.049,-4.4635
34.099,-4.52885
34.147,-4.5945
34.195,-4.66035
34.241,-4.72645
34.286,-4.79275
34.329,-4.8593
34.371,-4.92605
34.412,-4.993
34.452,-5.06
34.49,-5.1275
34.527,-5.195
34.562,-5.263
34.596,-5.3305
34.629,-5.3985
34.66,-5.467
34.69,-5.5355
34.719,-5.604
34.746,-5.6725
34.772,-5.7415
34.796,-5.81
34.819,-5.8795
34.841,-5.9485
34.861,-6.0175
34.88,-6.087
34.898,-6.1565
34.914,-6.226
34.929,-6.2955
34.942,-6.3655
34.954,-6.435
34.965,-6.505
34.974,-6.5745
34.982,-6.6445
34.988,-6.7145
34.993,-6.7845
34.997,-6.8545
34.999,-6.9245
35,-6.9945
34.999,-7.0645
34.997,-7.1345
34.994,-7.2045
34.989,-7.2745
34.983,-7.3445
34.975,-7.414
34.966,-7.484
34.956,-7.554
34.944,-7.6235
34.931,-7.6935
34.917,-7.763
34.901,-7.8325
34.883,-7.902
34.865,-7.9715
34.844,-8.0405
34.823,-8.1095
34.8,-8.179
34.776,-8.2475
34.75,-8.3165
34.723,-8.385
34.695,-8.454
34.665,-8.522
34.634,-8.5905
34.601,-8.6585
34.568,-8.7265
34.532,-8.794
34.496,-8.8615
34.458,-8.929
34.419,-8.9965
34.378,-9.0635
34.336,-9.13
34.293,-9.1965
34.248,-9.263
34.202,-9.329
34.155,-9.395
34.106,-9.4605
34.057,-9.526
34.005,-9.5915
33.953,-9.656
33.899,-9.721
33.844,-9.785
33.788,-9.849
33.73,-9.913
33.671,-9.9765
33.611,-10.0395
33.55,-10.1025
33.487,-10.165
33.423,-10.2275
33.358,-10.2895
33.291,-10.351
33.224,-10.4125
